R-HSA-111932	3
R-HSA-111931	4
R-HSA-2214320	15
R-HSA-1483255	4
R-HSA-5654219	11
R-HSA-419037	42
R-HSA-388841	9
R-HSA-2032785	29
R-HSA-5602571	3
R-HSA-180585	53
R-HSA-947581	5
R-HSA-375165	19
R-HSA-936440	34
R-HSA-73843	3
R-HSA-442380	10
R-HSA-975578	10
R-HSA-447043	7
R-HSA-447041	9
R-HSA-975574	1
R-HSA-975577	15
R-HSA-3785653	10
R-HSA-427652	2
R-HSA-166016	19
R-HSA-180292	9
R-HSA-1566948	18
R-HSA-192105	14
R-HSA-69231	39
R-HSA-901042	5
R-HSA-2022928	31
R-HSA-419812	11
R-HSA-2022923	11
R-HSA-1253288	7
R-HSA-416572	24
R-HSA-204174	14
R-HSA-6785470	5
R-HSA-3656253	12
R-HSA-196025	11
R-HSA-2979096	21
R-HSA-8937144	7
R-HSA-3359463	3
R-HSA-3359462	3
R-HSA-5632681	8
R-HSA-3359469	2
R-HSA-2022857	13
R-HSA-2022854	28
R-HSA-8864260	3
R-HSA-1660514	18
R-HSA-1296072	43
R-HSA-174437	10
R-HSA-74259	10
R-HSA-174430	8
R-HSA-1362409	6
R-HSA-209822	10
R-HSA-163316	1
R-HSA-1655829	14
R-HSA-8868766	4
R-HSA-5688890	8
R-HSA-217271	3
R-HSA-189451	11
R-HSA-196843	7
R-HSA-2428928	6
R-HSA-917729	28
R-HSA-2465910	10
R-HSA-6781827	44
R-HSA-156711	16
R-HSA-6781823	53
R-HSA-1606341	5
R-HSA-3828062	2
R-HSA-964739	2
R-HSA-264876	28
R-HSA-444411	3
R-HSA-264870	12
R-HSA-5213460	15
R-HSA-5619099	4
R-HSA-5603037	4
R-HSA-197264	18
R-HSA-5250955	5
R-HSA-451308	10
R-HSA-8851708	19
R-HSA-1614603	2
R-HSA-388479	6
R-HSA-451307	2
R-HSA-5250958	3
R-HSA-5632684	73
R-HSA-168330	1
R-HSA-168333	28
R-HSA-3359467	2
R-HSA-1306955	4
R-HSA-444257	6
R-HSA-5661231	11
R-HSA-3645790	4
R-HSA-975163	16
R-HSA-5685938	37
R-HSA-3371378	10
R-HSA-5368286	87
R-HSA-450321	22
R-HSA-111453	8
R-HSA-2424491	26
R-HSA-512988	23
R-HSA-5683678	5
R-HSA-937039	14
R-HSA-265473	2
R-HSA-191859	49
R-HSA-174084	63
R-HSA-448424	8
R-HSA-5357956	30
R-HSA-3371571	19
R-HSA-110056	9
R-HSA-196791	7
R-HSA-114608	126
R-HSA-114604	55
R-HSA-140534	16
R-HSA-375170	28
R-HSA-6798695	480
R-HSA-888568	2
R-HSA-211897	1
R-HSA-5340573	1
R-HSA-77352	5
R-HSA-77350	5
R-HSA-5635838	18
R-HSA-372708	14
R-HSA-446388	8
R-HSA-6783984	4
R-HSA-114516	5
R-HSA-2022377	17
R-HSA-5602498	11
R-HSA-8873719	65
R-HSA-196108	10
R-HSA-193993	6
R-HSA-1483115	8
R-HSA-3214815	60
R-HSA-429947	23
R-HSA-190861	37
R-HSA-418555	146
R-HSA-390696	9
R-HSA-5678895	61
R-HSA-6807047	4
R-HSA-3656225	7
R-HSA-8853659	39
R-HSA-480985	2
R-HSA-446652	34
R-HSA-1234158	11
R-HSA-193775	14
R-HSA-3359473	2
R-HSA-5140745	13
R-HSA-3359474	1
R-HSA-3359475	2
R-HSA-167060	4
R-HSA-3359478	2
R-HSA-8853383	4
R-HSA-2565942	85
R-HSA-8862803	21
R-HSA-179409	25
R-HSA-109704	28
R-HSA-352230	30
R-HSA-70221	14
R-HSA-913709	58
R-HSA-1296041	25
R-HSA-1300642	9
R-HSA-1300645	1
R-HSA-1300644	10
R-HSA-174403	13
